                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1114,                0.68868,                 1.2029,                0.85026,                0.84066,                0.88625,                0.58294,                 1.1319,                0.59404,                 1.2461,               0.006535,               0.006535,               0.006535
                     37,                 1.1079,                0.68446,                 1.2031,                0.85189,                0.82896,                0.88328,                0.58337,                 1.1339,                0.59986,                 1.2497,               0.006436,               0.006436,               0.006436
                     38,                 1.1033,                0.67068,                  1.204,                0.84962,                0.84129,                0.88421,                0.58462,                  1.128,                 0.5953,                 1.2531,               0.006337,               0.006337,               0.006337
                     39,                 1.0949,                0.66895,                 1.1964,                0.85197,                0.83533,                0.89058,                0.58657,                  1.139,                 0.5976,                  1.259,               0.006238,               0.006238,               0.006238
                     40,                 1.0927,                0.66287,                 1.1878,                0.86127,                0.84294,                0.89138,                0.59267,                 1.1313,                0.58621,                  1.238,               0.006139,               0.006139,               0.006139
                     41,                 1.0792,                0.65943,                 1.1885,                0.84606,                0.84615,                0.89086,                0.58773,                 1.1291,                0.59044,                 1.2536,                0.00604,                0.00604,                0.00604
                     42,                 1.0865,                0.66078,                  1.191,                0.85729,                0.84105,                0.88901,                0.58985,                 1.1231,                0.58666,                 1.2475,               0.005941,               0.005941,               0.005941
                     43,                   1.08,                0.65954,                 1.1801,                0.84365,                0.84417,                0.88401,                0.58629,                 1.1295,                0.58808,                 1.2477,               0.005842,               0.005842,               0.005842
                     44,                 1.0675,                0.64305,                 1.1819,                0.85192,                0.84325,                0.88808,                0.59075,                 1.1236,                0.58617,                 1.2481,               0.005743,               0.005743,               0.005743
                     45,                 1.0566,                0.63385,                 1.1728,                0.84874,                 0.8436,                0.88908,                0.59139,                 1.1202,                0.57926,                 1.2481,               0.005644,               0.005644,               0.005644
                     46,                 1.0541,                0.62974,                 1.1679,                0.86267,                0.83869,                0.89031,                0.59256,                 1.1174,                0.57661,                 1.2402,               0.005545,               0.005545,               0.005545
                     47,                 1.0467,                0.62336,                 1.1587,                0.85444,                0.84588,                0.89043,                0.59296,                 1.1218,                0.57685,                 1.2297,               0.005446,               0.005446,               0.005446
                     48,                 1.0375,                0.61681,                 1.1463,                0.87384,                0.82767,                 0.8954,                0.59326,                 1.1197,                0.56757,                 1.2229,               0.005347,               0.005347,               0.005347
